index,is input,flow ID,flow name,flow category,flow unit,flow type,location ID,location name,location code
331,true,e2f62697-57d4-42fe-95bf-c85fd32a9cf0,"sheet rolling, steel",C:Manufacturing/24:Manufacture of basic metals/241:Manufacture of basic iron and steel/2410:Manufacture of basic iron and steel,kg,product,,,
332,true,e36aa595-9fc6-4eff-8f34-a9b11f460762,"acetic acid, without water, in 98% solution state","C:Manufacturing/20:Manufacture of chemicals and chemical products/201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics/2011:Manufacture of basic chemicals",kg,product,,,
333,true,b055cb73-3656-4bb2-b53c-928352e1e8ac,"lime, hydrated, packed","C:Manufacturing/23:Manufacture of other non-metallic mineral products/239:Manufacture of non-metallic mineral products n.e.c./2394:Manufacture of cement, lime and plaster",kg,product,,,
334,true,68db7412-ba35-488b-8a45-9a9f48448522,"nitric acid, without water, in 50% solution state","C:Manufacturing/20:Manufacture of chemicals and chemical products/201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics/2012:Manufacture of fertilizers and nitrogen compounds",kg,product,,,
335,false,5c234628-ab1e-4284-ae2b-f1c2f6883f71,Xylene,Elementary flows/Emission to air/unspecified,kg,elementary,,,
336,true,fb4bb128-084e-4da3-8227-2ef8ad95da13,"alkyd paint, white, without solvent, in 60% solution state","C:Manufacturing/20:Manufacture of chemicals and chemical products/202:Manufacture of other chemical products/2022:Manufacture of paints, varnishes and similar coatings, printing ink and mas",kg,product,,,
337,false,4480eb6b-6961-32d2-bd44-4f4f4c5a8aaa,"Water, RoW",Elementary flows/Emission to water/unspecified,m3,elementary,,,
338,false,961ccd56-2eee-4f57-bb18-fc4362b49000,"COD, Chemical Oxygen Demand",Elementary flows/Emission to water/unspecified,kg,elementary,,,
339,false,79607917-9e12-4292-b289-21ff2b36e04b,"DOC, Dissolved Organic Carbon",Elementary flows/Emission to water/unspecified,kg,elementary,,,
340,true,a57d2939-1c24-4862-a213-e36319eebad3,road vehicle factory,F:Construction/41:Construction of buildings/410:Construction of buildings/4100:Construction of buildings,Item(s),product,,,
341,true,8aa5cd19-c1ca-49f1-8efb-c7a28f5ad71f,"section bar rolling, steel",C:Manufacturing/24:Manufacture of basic metals/241:Manufacture of basic iron and steel/2410:Manufacture of basic iron and steel,kg,product,,,
342,false,b213e655-7359-4519-a362-5a43dc35183f,wastewater from lorry production,"E:Water supply; sewerage, waste management and remediation activities/37:Sewerage/370:Sewerage/3700:Sewerage",m3,waste,,,
343,false,cec4a04d-562a-4a38-a98f-5fb3d07eea6b,"TOC, Total Organic Carbon",Elementary flows/Emission to water/unspecified,kg,elementary,,,
344,false,91955aba-6ebc-4413-9342-f0298860b4aa,"BOD5, Biological Oxygen Demand",Elementary flows/Emission to water/unspecified,kg,elementary,,,
345,false,28999907-a8a7-45b3-857e-836495ca2aa0,Benzene,Elementary flows/Emission to air/unspecified,kg,elementary,,,
346,true,67c40aae-d403-464d-9649-c12695e43ad8,"Water, well, in ground",Elementary flows/Resource/in water,m3,elementary,,,
347,false,8e123669-94d3-41d8-9480-a79211fe7c43,Lead II,Elementary flows/Emission to air/unspecified,kg,elementary,,,
348,false,3b1ecf8e-1d2c-4330-81da-a79f9068976d,Toluene,Elementary flows/Emission to air/unspecified,kg,elementary,,,
349,false,35357464-0d86-4bbd-940f-7d0dd8e5df57,Benzo(b)fluoranthene,Elementary flows/Emission to air/unspecified,kg,elementary,,,
350,false,5064da53-d4ec-44ee-ba23-b20a4f8c4964,Butadiene,Elementary flows/Emission to air/unspecified,kg,elementary,,,
351,false,88ef28f1-cfd5-44a0-ac34-01acf2db84a0,"Benzene, ethyl-",Elementary flows/Emission to air/unspecified,kg,elementary,,,
352,false,555aed47-6c62-4cbe-b9b8-d01229284c8a,Propanal,Elementary flows/Emission to air/unspecified,kg,elementary,,,
353,false,8b48b5cf-853c-4970-840d-5d9c5fb3caac,Pyrene,Elementary flows/Emission to air/unspecified,kg,elementary,,,
354,false,3df4c2f4-c854-4493-b514-f2f3accdc307,Naphthalene,Elementary flows/Emission to air/unspecified,kg,elementary,,,
355,false,dbe2c062-5692-4282-aa6c-e75f4d718077,Fluorene,Elementary flows/Emission to air/unspecified,kg,elementary,,,
356,false,4db9bb53-4bdd-4f32-a6a8-521f58c5825c,Benz(a)anthracene,Elementary flows/Emission to air/unspecified,kg,elementary,,,
357,false,23a4dfc7-c82e-4425-abf6-0195f78f3363,"Dibenz(a,h)anthracene",Elementary flows/Emission to air/unspecified,kg,elementary,,,
358,false,e3e8f6a2-c45e-4685-9859-698b2eadaf5b,Acetaldehyde,Elementary flows/Emission to air/unspecified,kg,elementary,,,
