index,is input,flow ID,flow name,flow category,flow unit,flow type,location ID,location name,location code
79,false,7c09916a-b6b5-47f5-bdf6-30d2511beb82,"Benzene, ethyl-",Elementary flows/Emission to air/high population density,kg,elementary,,,
80,false,16f40b1c-f7c8-4100-9916-81a260493951,Sulfur,Elementary flows/Emission to soil/industrial,kg,elementary,,,
81,false,a57cb19d-f436-4c0c-a2ab-097c544bd95f,Silicon,Elementary flows/Emission to soil/industrial,kg,elementary,,,
82,false,a79be2ee-ac83-4328-a136-a34ba1f99089,Selenium IV,Elementary flows/Emission to air/high population density,kg,elementary,,,
83,false,67652827-017f-4856-8d0a-c97bac4c6562,Lead II,Elementary flows/Emission to soil/industrial,kg,elementary,,,
84,false,e2128dc4-e065-4030-81b3-c978d7bc48ec,Mercury II,Elementary flows/Emission to soil/industrial,kg,elementary,,,
85,false,a72a45ee-395a-4d25-b893-9d183e43e76e,Nickel II,Elementary flows/Emission to soil/industrial,kg,elementary,,,
86,false,afcbd980-14c2-4e1d-a0aa-5f6464e5c76b,Hydrochloric acid,Elementary flows/Emission to air/high population density,kg,elementary,,,
87,false,b1991748-2151-4b51-8cdb-a8b4203677dc,Chloride,Elementary flows/Emission to soil/industrial,kg,elementary,,,
88,false,41dbbe1f-06e1-4a34-8497-5986be8f9e51,Vanadium V,"Elementary flows/Emission to water/ground water, long-term",kg,elementary,,,
89,false,e2d58f90-9aac-4ac4-87f7-bbd6cfc358e3,Cadmium II,Elementary flows/Emission to air/low population density,kg,elementary,,,
90,false,3822809c-cc03-469d-ac2a-9f85842f8440,Molybdenum VI,Elementary flows/Emission to water/ground water,kg,elementary,,,
91,false,b9291c72-4b1d-4275-8068-4c707dc3ce33,Nitrate,Elementary flows/Emission to water/ground water,kg,elementary,,,
92,false,ce88a9b6-0afa-4f68-9b32-8c3438bf4025,Silicon,"Elementary flows/Emission to water/ground water, long-term",kg,elementary,,,
93,false,76152de4-9499-48f7-af98-a5d41842484a,Iron ion,Elementary flows/Emission to air/low population density,kg,elementary,,,
94,false,dca43ede-b779-47a7-b2e7-cb4e7b12c3da,"Heat, waste","Elementary flows/Emission to water/ground water, long-term",MJ,elementary,,,
